Title,Description,Tags...,,,,,,,,,,,,
Windows,"An operating system from Microsoft. Suited for using windows-specific software like MS Office with its stuff, Adobe apps, most of the games, etc.",windows,zero_configuration,moderate_configuration,,,,,,,,,,
"Debian Stable, Old Stable and Old Old Stable",A linux distro known for its stability and long-term support. Perfect almost for anybody except those who wants to be at bleeding edge. Very wide in terms of nerding.,deb,zero_configuration,moderate_configuration,nerd_configuration,low_spec,stable_software,server_linux,embedded,,,,,
Debian Testing,"A branch of Debian, linux distro known for its stability. Despite the name, offers packages stable for daily use. Perfect for home PCs.",deb,zero_configuration,moderate_configuration,nerd_configuration,low_spec,daily_use_software,,,,,,,
Debian Unstable,"A branch of Debian, linux distro known for its stability. Packages are tested individually, but without checking the distribution as a whole. Used by those who needs latest versions of development libraries.",deb,nerd_configuration,low_spec,kinda_unstable_software,,,,,,,,,
MX Linux,"Based on Debian Stable, suited for low-end PCs. Offers great out-of-the-box experience and sysvinit as an alternative to SystemD.",deb,zero_configuration,moderate_configuration,nerd_configuration,low_spec,stable_software,,,,,,,
Devuan,"Fork of Debian, offers sysvinit and OpenRC as an alternatives to SystemD. Uses the same versioning as Debian.",deb,zero_configuration,moderate_configuration,nerd_configuration,low_spec,stable_software,daily_use_software,"kinda_unstable_software
Fedora""",moderate_configuration,low_moderate_spec,daily_use_software,,server_linux
Fedora Server,Linux distro from RedHat targeted for servers. Offers latest server software.,rpm,nerd_configuration,low_spec,low_moderate_spec,stable_software,server_linux,,,,,,,
Fedora CoreOS and Fedora IoT,Linux distros from RedHat targeted for embedded systems.,rpm,nerd_configuration,low_spec,low_moderate_spec,stable_software,embedded,,,,,,,
RedHat Enterprise Linux,Linux distro from RedHat. Offers cool integration with RedHat software.,rpm,moderate_configuration,low_spec,low_moderate_spec,stable_software,,,,,,,,
TAILS,"Based on Debian, very secure, doesn't leave any digital footprint.",deb,zero_configuration,low_moderate_spec,stable_software,hacking,,,,,,,,
Kali Linux,Based on Debian. Widely used for pentesting.,deb,zero_configuration,low_moderate_spec,stable_software,hacking,low_spec,,,,,,,
Arch Linux,A distro known for its excellent wiki and latest packages in repos,pacman,nerd_configuration,low_spec,low_moderate_spec,kinda_unstable_software,daily_use_software,unstable_software,,,,,,
Void Linux,"To me, it's like Arch before adoption of SystemD. Unfortunately, lacks some packages.",nerd_configuration,low_spec,low_moderate_spec,kinda_unstable_software,daily_use_software,,,,,,,,
Gentoo,A source-based distro with excellent documentation in form of handbook and great package manager.  Provides latest packages in repos.,src,nerd_configuration,low_spec,low_moderate_spec,kinda_unstable_software,daily_use_software,unstable_software,,,,,,
Source Mage,Magical source-based distro. Based on dead Sorcerer Linux.,src,nerd_configuration,low_spec,low_moderate_spec,kinda_unstable_software,daily_use_software,,,,,,,
Lunar Linux,Another magical fork of Sorcerer ,src,nerd_configuration,low_spec,low_moderate_spec,kinda_unstable_software,daily_use_software,,,,,,,
CRUX,"Source-based distro, optimized for x86_64. Adopts stuff from BSD",src,nerd_configuration,low_spec,low_moderate_spec,daily_use_software,stable_software,,,,,,,
GoboLinux,A unique source-based distro featuring its own filesystem hierarchy and boot systems,src,nerd_configuration,low_spec,low_moderate_spec,daily_use_software,stable_software,,,,,,,
Slackware,A source-based distro without package manager,src,nerd_configuration,low_spec,low_moderate_spec,stable_software,,,,,,,,
LFS,A legend.,src,nerd_configuration,low_spec,low_moderate_spec,daily_use_software,stable_software,kinda_unstable_software,unstable_software,,,,,
Puppy Linux,Who don't like puppies? UwU Especially when they can run on a slow PC,moderate_configuration,low_spec,low_moderate_spec,daily_use_software,,,,,,,,,
Damn Small Linux,It's really small,moderate_configuration,low_spec,stable_software,,,,,,,,,,
Tiny Core Linux,Really tiny,zero_configuration,low_spec,stable_software,,,,,,,,,,
SliTaz,Blazing fast distro,moderate_configuration,low_spec,stable_software,daily_use_software,,,,,,,,,
FreeBSD,Most popular BSD,src,bsd,daily_use_software,stable_software,low_spec,low_moderate_spec,embedded,real_time_system,moderate_configuration,nerd_configuration,,,
NetBSD,BSD that offers great portability,src,bsd,daily_use_software,stable_software,low_spec,low_moderate_spec,embedded,real_time_system,moderate_configuration,nerd_configuration,,,
OpenBSD,BSD that aims for great security,src,bsd,daily_use_software,stable_software,low_spec,low_moderate_spec,embedded,real_time_system,moderate_configuration,nerd_configuration,,,
DragonFly BSD,A fork of FreeBSD featuring some different design concepts,src,bsd,daily_use_software,stable_software,low_spec,low_moderate_spec,embedded,real_time_system,nerd_configuration,,,,
TrueOS,BSD for desktops,src,bsd,daily_use_software,stable_software,low_spec,low_moderate_spec,zero_configuration,moderate_configuration,nerd_configuration,,,,
